------------------------------------------------------------------------

_Search parameters_:
Nucleus:39K

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	K      	19 	20 	5597.9    	1.3     	5/2+              	2.0 FS 0.2               	5598.3    	1.3     	100       	        	M1+E2     	-1.1    	0.9       	          	        
39 	K      	19 	20 	5597.9    	1.3     	5/2+              	2.0 FS 0.2               	1471.9    	        	3         	LT      	          	        	          	          	        
39 	K      	19 	20 	5597.9    	1.3     	5/2+              	2.0 FS 0.2               	2783.5    	        	5         	LT      	          	        	          	          	        
39 	K      	19 	20 	5643.4    	0.4     	7/2-              	0.07 PS 0.04             	905.9     	        	33        	13      	          	        	          	          	        
39 	K      	19 	20 	5643.4    	0.4     	7/2-              	0.07 PS 0.04             	1518      	        	          	        	          	        	          	          	        
39 	K      	19 	20 	5643.4    	0.4     	7/2-              	0.07 PS 0.04             	965.2     	0.3     	100       	13      	M1(+E2)   	+0.12   	0.13      	          	        
39 	K      	19 	20 	5711.5    	1.9     	3/2+              	14 FS LT                 	5711.0    	        	100       	        	          	        	          	          	        
39 	K      	19 	20 	5718.3    	0.2     	13/2-             	0.19 PS 0.05             	1773.98   	0.11    	100.0     	0.2     	M1+E2     	+19     	+30-8     	          	        
39 	K      	19 	20 	5718.3    	0.2     	13/2-             	0.19 PS 0.05             	364.1     	0.1     	1.6       	0.2     	[M1,E2]   	        	          	          	        
39 	K      	19 	20 	5788.3    	0.8     	(5/2,7/2)+        	28 FS 14                 	5788.4    	2       	100       	        	          	        	          	          	        
39 	K      	19 	20 	5801.6    	0.6     	7/2-              	14 FS 7                  	1280.7    	0.4     	90        	7       	[M1]      	        	          	          	        
39 	K      	19 	20 	5801.6    	0.6     	7/2-              	14 FS 7                  	2987.3    	0.7     	100       	7       	          	        	          	          	        
39 	K      	19 	20 	5801.6    	0.6     	7/2-              	14 FS 7                  	637.5     	0.3     	83        	7       	[M1]      	        	          	          	        
